chatgpt_usage_frequency_per_week,average_duration_per_session_minutes,attempt_before_chatgpt,confidence_in_solving_alone,reason_for_using_chatgpt,peer_usage_influence,cgpa,department,used_other_ai_tools,chatgpt_preferred_over_google,chatgpt_dependence
7,45,0,3,Just exploring,4,8.02,ECE,1,1,1
5,20,0,2,Better answers,3,6.93,ECE,1,1,1
7,10,0,2,No idea,2,7.48,MECH,0,1,1
5,20,0,4,Save time,2,9.64,CIVIL,1,1,1
5,45,0,3,Save time,2,9.23,CSE,1,0,0
5,10,0,4,Just exploring,2,7.94,CSE,1,1,1
0,30,1,2,Save time,4,7.54,MECH,0,1,1
1,5,1,3,Save time,3,7.62,CSE,1,1,1
0,5,1,3,Save time,1,8.11,MECH,0,1,1
5,20,0,1,Save time,5,6.48,ECE,0,1,1
3,20,0,3,Save time,5,7.24,MECH,1,0,1
5,30,1,2,Better answers,5,5.83,CSE,1,1,1
10,30,1,1,Better answers,5,7.9,ECE,0,1,1
3,90,0,5,Just exploring,2,8.15,ECE,0,0,0
5,20,1,3,Just exploring,3,7.02,ECE,1,0,1
7,20,1,4,Better answers,4,9.07,CSE,1,1,1
3,45,1,3,Save time,4,6.27,MECH,1,0,1
1,10,1,4,Better answers,2,6.04,CIVIL,1,1,1
3,20,1,4,Better answers,4,7.72,CSE,1,0,1
3,5,0,4,Save time,2,8.55,CSE,0,1,1
10,5,1,3,No idea,2,9.18,CSE,1,0,1
7,60,1,3,Better answers,3,7.04,ECE,1,1,1
5,45,0,3,Better answers,3,8.58,ECE,0,1,1
10,30,0,5,Better answers,3,7.46,ECE,1,1,1
7,20,0,4,Save time,1,7.33,CSE,0,0,1
3,10,1,5,Just exploring,5,8.38,CSE,1,1,1
10,10,1,2,No idea,2,8.15,ECE,1,1,1
5,10,0,4,Save time,2,5.92,ECE,1,1,1
7,20,0,5,Just exploring,5,8.98,CIVIL,1,0,1
10,30,0,2,Better answers,5,8.88,CSE,1,0,1
3,30,1,1,Just exploring,5,6.87,MECH,1,1,1
1,10,1,4,No idea,4,7.9,ECE,1,1,1
3,60,1,4,Better answers,4,7.99,ECE,0,1,1
5,30,0,4,Save time,3,7.76,MECH,1,1,1
7,30,0,2,Save time,1,6.95,MECH,0,1,1
10,30,0,4,Better answers,3,6.83,CIVIL,1,0,1
0,20,0,2,No idea,3,7.47,CSE,1,1,1
5,10,1,2,Save time,2,8.67,CSE,1,0,1
5,20,1,2,Save time,4,8.04,MECH,0,1,1
3,45,1,4,Just exploring,3,7.13,ECE,0,1,1
1,5,1,4,Just exploring,1,8.27,CSE,1,1,1
3,10,0,3,Better answers,2,4.65,CSE,0,0,0
10,5,1,3,Save time,4,8.65,CSE,0,0,1
3,5,1,5,Save time,1,5.76,CIVIL,0,0,1
5,45,1,3,Save time,5,7.14,CSE,1,0,1
7,30,0,4,Just exploring,3,6.38,CSE,1,0,1
5,20,0,3,Save time,3,6.21,CSE,0,1,1
12,5,0,3,Better answers,3,8.66,CSE,0,0,1
12,20,1,3,Save time,4,7.03,CSE,0,0,1
3,20,1,3,Better answers,3,7.85,ECE,1,1,1
5,10,0,4,No idea,4,7.45,CSE,1,1,1
3,20,1,3,Just exploring,3,7.98,MECH,0,1,1
3,20,1,2,Save time,2,7.58,CSE,0,0,1
0,30,0,5,Save time,5,6.22,ECE,0,1,1
5,30,0,3,Save time,4,8.5,CIVIL,1,0,1
5,5,1,3,Just exploring,4,7.01,MECH,1,0,1
1,20,0,5,Just exploring,5,5.94,ECE,0,1,1
3,30,1,4,Better answers,5,7.07,CSE,0,0,1
10,20,0,2,No idea,4,9.0,CSE,0,1,1
3,45,1,5,No idea,4,8.35,MECH,1,1,1
1,30,0,4,Save time,4,7.15,CIVIL,0,1,1
5,10,0,3,Just exploring,4,7.15,MECH,1,1,1
12,5,1,2,Better answers,4,7.18,ECE,1,0,1
3,30,0,4,Better answers,4,9.58,MECH,0,1,1
7,5,0,4,Better answers,2,7.88,ECE,0,1,1
7,30,0,3,Save time,5,7.93,CSE,0,1,1
3,60,1,5,Save time,5,8.53,ECE,1,1,1
7,30,1,4,No idea,1,7.74,CIVIL,1,0,1
5,20,1,2,Save time,4,7.24,CSE,1,1,1
5,30,0,3,No idea,2,7.3,MECH,1,0,0
5,20,0,2,Save time,3,7.43,CSE,0,1,1
5,20,0,4,Better answers,4,7.46,ECE,1,1,1
1,60,0,1,Save time,2,8.23,CSE,1,0,1
7,20,0,4,Better answers,4,7.55,ECE,0,1,1
3,60,0,4,No idea,4,8.23,MECH,1,0,1
3,60,0,5,Save time,3,7.42,CSE,1,1,1
0,10,1,3,Better answers,1,7.58,MECH,1,1,1
5,5,0,4,Better answers,2,5.5,MECH,1,1,1
7,10,0,2,No idea,4,8.42,CIVIL,1,1,1
0,5,1,4,Just exploring,5,7.85,CSE,1,1,1
5,5,0,2,No idea,4,8.5,CSE,0,0,1
3,30,1,3,Save time,2,4.6,CSE,0,0,1
5,5,1,4,Save time,4,9.59,CIVIL,1,0,1
3,20,1,2,Save time,3,7.36,CIVIL,0,0,1
7,45,0,2,Better answers,4,8.61,ECE,0,1,1
5,5,1,4,Save time,2,6.46,MECH,1,1,1
10,45,0,4,Better answers,4,8.11,ECE,1,1,1
1,10,0,4,Better answers,3,6.45,ECE,1,0,0
3,10,0,4,Better answers,5,6.88,CSE,1,1,1
1,30,1,3,No idea,3,9.41,MECH,0,1,1
10,30,0,3,Save time,4,7.31,CSE,0,0,1
10,45,0,3,Save time,5,7.72,MECH,0,1,1
3,30,1,2,No idea,2,8.37,MECH,1,1,1
7,45,0,5,Better answers,5,8.0,MECH,1,0,1
7,10,0,4,No idea,4,7.65,CSE,0,1,1
5,10,0,3,Better answers,1,7.86,CSE,1,1,1
5,45,0,3,Save time,3,9.9,CSE,1,0,0
3,45,0,5,Just exploring,4,7.44,CSE,1,1,1
1,90,0,2,No idea,1,7.7,CSE,1,1,1
10,20,1,4,No idea,3,8.55,CIVIL,0,1,1
10,20,0,3,Save time,3,8.61,ECE,1,1,1
5,45,0,4,Better answers,4,8.69,CSE,1,1,1
3,20,1,1,Better answers,1,8.14,CSE,1,1,1
3,60,0,5,Save time,5,6.36,ECE,1,1,1
7,45,1,5,Just exploring,5,9.13,ECE,1,0,1
10,20,0,4,Save time,5,6.35,ECE,1,1,1
10,45,0,4,Just exploring,4,7.8,CIVIL,0,1,1
7,45,0,5,Better answers,2,6.75,ECE,1,1,1
