chatgpt_usage_frequency_per_week,average_duration_per_session_minutes,attempt_before_chatgpt,confidence_in_solving_alone,peer_usage_influence,reason_for_using_chatgpt,cgpa,department,used_other_ai_tools,chatgpt_preferred_over_google,chatgpt_dependence
50,7,0,4,1,Save time,8.29,MECH,1,1,1
43,256,15,4,4,Save time,4.89,IT,1,0,0
24,18,14,2,5,Better answers,6.83,ELECTRICAL,1,1,1
17,115,12,1,2,Better answers,4.8,EXTC,1,1,1
37,108,4,4,3,Save time,9.41,CIVIL,1,1,0
16,81,5,1,4,No idea,4.77,IT,0,1,1
10,184,16,1,2,No idea,5.09,EXTC,0,1,1
47,291,9,5,3,No idea,9.52,EXTC,1,1,0
27,249,11,3,5,Save time,8.91,CIVIL,1,1,0
24,147,12,1,3,Save time,7.62,COMPUTER,0,0,1
6,295,18,5,3,Better answers,7.37,CIVIL,0,0,1
38,205,13,2,1,Save time,5.29,COMPUTER,1,0,0
24,135,1,3,4,No idea,7.36,EXTC,0,1,1
37,196,16,4,3,No idea,7.31,EXTC,0,1,0
34,194,4,4,4,Save time,6.24,CIVIL,0,1,0
44,288,10,1,1,No idea,9.52,CIVIL,1,0,0
13,18,11,1,5,Better answers,4.28,COMPUTER,0,1,0
27,6,11,4,5,No idea,4.38,EXTC,1,0,1
39,256,12,1,2,Better answers,6.73,IT,0,1,0
47,270,15,4,3,Better answers,9.31,CIVIL,0,1,0
39,169,9,5,2,Save time,8.56,CIVIL,0,1,1
30,166,9,4,1,Save time,5.13,EXTC,0,0,0
34,264,15,3,2,No idea,7.96,CIVIL,0,1,1
15,284,2,4,4,Better answers,5.27,CIVIL,0,1,0
13,37,18,2,2,Better answers,5.48,CIVIL,0,1,0
23,61,10,4,5,Better answers,8.82,IT,1,1,1
10,272,18,1,1,No idea,5.33,ELECTRICAL,1,0,0
17,268,4,5,2,Save time,9.89,MECH,0,0,1
43,38,14,2,4,No idea,7.24,IT,1,1,0
1,155,13,3,4,Better answers,4.8,IT,1,1,0
16,64,3,5,2,Save time,5.69,IT,1,0,0
14,204,8,1,3,Save time,4.51,ELECTRICAL,1,1,0
0,228,13,5,1,Save time,9.49,CIVIL,0,1,0
35,277,12,2,4,Save time,5.19,ELECTRICAL,0,0,0
38,82,2,1,3,Better answers,7.77,IT,1,0,1
14,44,7,3,2,No idea,8.3,MECH,0,0,0
28,298,11,3,4,Better answers,6.52,EXTC,0,1,1
41,151,14,4,2,Better answers,5.01,MECH,0,0,0
0,136,17,4,4,Better answers,5.51,ELECTRICAL,0,0,0
3,174,9,4,1,No idea,5.11,CIVIL,0,0,0
36,228,13,3,2,No idea,8.14,EXTC,1,1,0
10,250,19,2,5,Better answers,9.67,EXTC,1,0,1
27,36,14,5,5,Better answers,9.7,COMPUTER,0,0,1
21,241,19,3,4,Better answers,8.71,CIVIL,0,0,0
26,282,20,5,2,No idea,9.97,COMPUTER,1,1,1
37,250,10,4,3,Better answers,4.75,CIVIL,1,0,0
27,288,16,2,1,Better answers,4.36,COMPUTER,0,1,0
49,229,13,3,4,Better answers,7.36,IT,0,1,1
28,4,19,4,2,Better answers,9.55,COMPUTER,0,0,1
3,195,16,3,1,Better answers,9.28,EXTC,0,1,0
28,136,19,4,2,Better answers,6.42,CIVIL,1,0,0
26,278,11,1,1,Save time,9.71,MECH,1,1,1
24,179,18,1,2,No idea,7.31,EXTC,1,1,0
49,259,3,2,1,Save time,5.2,IT,0,0,1
16,213,19,1,3,Better answers,6.62,MECH,0,1,1
50,136,9,1,5,No idea,8.47,EXTC,1,0,1
34,80,13,4,2,Save time,8.04,IT,1,1,1
43,172,20,4,5,No idea,4.72,ELECTRICAL,1,0,0
40,184,10,2,4,Better answers,6.95,EXTC,1,0,1
34,135,15,1,4,Save time,6.63,EXTC,1,1,0
18,87,9,3,4,No idea,8.49,COMPUTER,0,0,1
35,237,15,4,3,Better answers,9.29,EXTC,1,1,0
38,208,6,2,2,No idea,7.16,ELECTRICAL,1,0,0
29,55,10,4,1,No idea,8.26,ELECTRICAL,0,1,1
16,275,8,5,2,Save time,7.13,EXTC,1,0,0
24,245,5,3,3,Better answers,4.51,EXTC,1,1,1
11,298,18,5,5,Save time,8.99,EXTC,1,0,0
20,293,18,4,4,Better answers,7.58,ELECTRICAL,1,1,1
37,129,19,4,2,Save time,8.41,MECH,0,0,0
19,65,0,5,1,No idea,7.35,IT,0,1,1
11,197,2,1,1,Better answers,9.79,IT,0,1,0
16,262,6,5,2,Better answers,5.18,CIVIL,1,0,0
18,41,3,4,3,Better answers,5.09,ELECTRICAL,0,0,0
6,33,15,3,2,No idea,7.82,MECH,0,0,1
32,104,4,4,2,No idea,5.68,COMPUTER,0,1,1
50,252,3,3,2,No idea,5.99,EXTC,1,1,0
7,299,12,2,5,No idea,8.01,ELECTRICAL,0,0,0
43,55,0,3,3,Save time,9.82,CIVIL,1,1,1
32,277,15,1,2,Save time,4.09,IT,1,0,0
35,204,8,2,3,Save time,9.06,COMPUTER,0,1,1
42,288,0,5,3,No idea,8.65,MECH,1,1,1
18,74,8,1,2,Save time,8.6,EXTC,0,0,1
37,248,10,5,2,Better answers,6.2,EXTC,1,0,0
22,82,5,5,5,Better answers,7.52,MECH,0,0,1
49,66,5,1,2,Save time,7.51,IT,1,1,0
44,55,7,1,3,Save time,7.77,COMPUTER,1,0,0
43,51,9,2,3,Save time,6.53,CIVIL,1,1,0
5,247,7,3,2,Better answers,4.39,CIVIL,0,1,0
19,30,8,1,5,Save time,5.65,IT,0,0,0
34,197,2,5,4,Better answers,6.56,CIVIL,1,0,0
2,247,8,2,5,Better answers,9.63,MECH,1,1,1
0,88,5,5,1,No idea,5.04,IT,1,1,0
25,141,16,4,5,No idea,9.96,ELECTRICAL,1,0,1
50,178,13,1,1,Better answers,9.12,COMPUTER,0,1,0
22,204,11,1,3,No idea,5.02,IT,0,1,1
11,131,8,4,2,No idea,7.5,MECH,1,1,0
33,142,5,4,2,No idea,7.5,COMPUTER,1,1,0
19,172,17,1,2,No idea,4.92,EXTC,0,1,1
15,268,1,3,1,Save time,7.54,CIVIL,0,1,1
39,46,11,4,3,No idea,5.46,IT,1,0,1
0,288,8,5,2,Better answers,5.51,EXTC,0,1,0
6,161,4,1,5,Save time,5.11,EXTC,0,1,0
4,98,1,3,3,No idea,4.32,COMPUTER,0,0,1
12,179,13,1,1,Better answers,4.85,IT,1,0,0
27,26,1,4,2,Better answers,6.01,ELECTRICAL,0,0,1
11,294,1,2,3,No idea,9.19,EXTC,1,0,0
11,74,5,5,3,No idea,4.24,EXTC,1,0,0
23,98,5,3,1,No idea,5.31,CIVIL,1,1,1
0,250,2,1,5,Save time,6.71,EXTC,0,1,0
